English,Russian
"The sun sets behind the mountains.","Солнце садится за горами."
"She plays the violin beautifully.","Она прекрасно играет на скрипке."
"The children are playing in the garden.","Дети играют в саду."
"I need to buy groceries for dinner.","Мне нужно купить продукты на ужин."
"The train arrives at the station in 10 minutes.","Поезд прибывает на станцию через 10 минут."
"He forgot his keys at home.","Он забыл ключи дома."
"The movie was both exciting and touching.","Фильм был одновременно захватывающим и трогательным."
"We're planning a trip to Paris next summer.","Мы планируем поездку в Париж следующим летом."
"The old bridge is being renovated.","Старый мост ремонтируют."
"She speaks three languages fluently.","Она свободно говорит на трех языках."
"The library is open until 9 PM.","Библиотека открыта до 9 вечера."
"This recipe requires fresh tomatoes.","Этот рецепт требует свежих помидоров."
"The conference will be held online this year.","Конференция в этом году будет проводиться онлайн."
"He's been working on this project for months.","Он работает над этим проектом уже несколько месяцев."
"The flowers in the garden are blooming.","Цветы в саду цветут."
"We need to leave early to avoid traffic.","Нам нужно выехать пораньше, чтобы избежать пробок."
"The museum has a new exhibition on ancient Egypt.","В музее новая выставка, посвященная древнему Египту."
"She's writing a book about her travels.","Она пишет книгу о своих путешествиях."
"The concert tickets are sold out.","Билеты на концерт распроданы."
"I enjoy watching the sunset at the beach.","Мне нравится смотреть на закат на пляже."
